Remitente,Fecha,Origen,Destino,Receptor,LatOrigen,LongOrigen,LatDestino,LongDestino,IDCarta
ZAVALA María Micaela de,1854-02-07,Labastida,Tolosa,SALAZAR Escolástica de,42.5908,-2.794,43.1386097,-2.0723558,6256
ZAVALA María Micaela de,1854-02-27,Labastida,Tolosa,SALAZAR Escolástica de,42.5908,-2.794,43.1386097,-2.0723558,6257
ZAVALA María Micaela de,07-02-1854,Labastida,Tolosa,SALAZAR Escolástica de,42.5908,-2.794,43.1386097,-2.0723558,6256
ZAVALA María Micaela de,1854-03-18,Labastida,Tolosa,SALAZAR Escolástica de,42.5908,-2.794,43.1386097,-2.0723558,6258
ZAVALA María Micaela de,1854-04-05,Labastida,Tolosa,SALAZAR Escolástica de,42.5908,-2.794,43.1386097,-2.0723558,6259
ZAVALA María Micaela de,1854-04-24,Labastida,Tolosa,SALAZAR Escolástica de,42.5908,-2.794,43.1386097,-2.0723558,6260
ZAVALA María Micaela de,AAAA-03-13,Vitoria,Tolosa,SALAZAR Escolástica de,42.8591338,-2.6818614,43.1386097,-2.0723558,6262
ZAVALA María Micaela de,05-11-¿1839?,torrecilla en cameros,Tolosa,SALAZAR Escolástica de,42.2553,-2.63054,43.1386097,-2.0723558,6351
ZAVALA María Micaela de,03-05-AAAA,torrecilla en cameros,Tolosa,SALAZAR Escolástica de,42.2553,-2.63054,43.1386097,-2.0723558,6342
ZAVALA María Micaela de,1849-05-10,Labastida,Tolosa,SALAZAR Escolástica de,42.5908,-2.794,43.1386097,-2.0723558,6196
ZAVALA María Micaela de,06-07-AAAA,Lumbreras,Tolosa,SALAZAR Escolástica de,42.0833022,-2.5860196,43.1386097,-2.0723558,6323
ZAVALA María Micaela de,09-05-AAAA,Vitoria,Tolosa,SALAZAR Escolástica de,42.8591338,-2.6818614,43.1386097,-2.0723558,6278
ZAVALA María Micaela de,29-03-AAAA,Laguardia,Tolosa,SALAZAR Escolástica de,42.5549,-2.5823,43.1386097,-2.0723558,6328
ZAVALA María Micaela de,03-10-1834,Vitoria,Tolosa,SALAZAR Escolástica de,42.8591338,-2.6818614,43.1386097,-2.0723558,6300
ZAVALA María Micaela de,AAAA-05-14,torrecilla en cameros,Tolosa,SALAZAR Escolástica de,42.2553,-2.63054,43.1386097,-2.0723558,6343
ZULOAGA Perico de,28-03-1828,Igualada,Tolosa,SALAZAR Escolástica de,41.5790182,1.6172000,43.1386097,-2.0723558,6381
ZULOAGA Perico de,12-12-1828,Hostalrich,Tolosa,SALAZAR Escolástica de,41.744698,2.6350900,43.1386097,-2.0723558,6388
ZULOAGA Perico de,01-03-1829,Barcelona,Tolosa,SALAZAR Escolástica de,41.38879,2.15899,43.1386097,-2.0723558,6391
ZULOAGA Perico de,21-03-1829,Hostalrich,Tolosa,SALAZAR Escolástica de,41.744698,2.6350900,43.1386097,-2.0723558,6392
ZULOAGA Perico de,29-05-1829,Alcalá de Henares,Tolosa,SALAZAR Escolástica de,40.48205,-3.35996,43.1386097,-2.0723558,6393
ZULOAGA Perico de,19-02-1830,Hostalrich,Tolosa,SALAZAR Escolástica de,41.744698,2.6350900,43.1386097,-2.0723558,6398
ZULOAGA Perico de,22-08-1818,Barcelona,Tolosa,SALAZAR Escolástica de,41.38879,2.15899,43.1386097,-2.0723558,6408
ZULOAGA Perico de,09-10-1830,Hostalrich,Laguardia,SALAZAR Escolástica de,41.744697,2.625065,42.5549,-2.5823,6402
ZULOAGA Perico de,08-10-1831,Hostalrich,Tolosa,SALAZAR Escolástica de,41.744698,2.6350900,43.1386097,-2.0723558,6403
OLALDE Juan Manuel de,26-06-1823,Vitoria,Tolosa,GALARRAGA Martín de,42.8591338,-2.6818614,43.1386097,-2.0723558,6862
